INDEX,DATE,TIME,WORD,IN,1,2,3,4,5,6
1292,01/01/2025,07:49:00,nerve,6,OUGHT,READY,LEVIS,FEVER,KERVE,NERVE
1293,02/01/2025,07:49:00,chose,6,OUGHT,HOVER,EPOCH,CHODE,CHOSS,CHOSE
1294,03/01/2025,07:48:00,cheap,5,SIDEY,EARTH,HEALS,APEAK,CHEAP,
1295,04/01/2025,07:48:00,relax,5,EARTH,READY,RESAW,RENAL,RELAX,
1296,05/01/2025,07:48:00,cyber,5,ORALS,RAMEN,RIVER,TWEER,HUGER,CYBER
1297,06/01/2025,07:47:00,sprig,5,AAAAA,GRIMY,TRAGI,PRIGS,SPRIG,
1298,07/01/2025,07:47:00,atlas,4,AAAAA,MASTY,BLOAT,ATLAS,,
1299,08/01/2025,07:47:00,draft,3,POSER,TARDY,DRAFT,,,
1300,09/01/2025,07:47:00,wafer,6,MERIT,RAVED,GAPER,CANER,WAKER,WAFER
1301,10/01/2025,07:46:00,crawl,4,ALOUD,LATER,VIRAL,CRAWL,,
1302,11/01/2025,07:46:00,dingy,3,ROARY,WINDY,DINGY,,,
1303,12/01/2025,07:46:00,total,3,OUGHT,TOWEL,TOTAL,,,
1304,13/01/2025,07:45:00,cloak,5,OUGHT,LOWER,SALSA,FINAL,CLOAK,
1305,14/01/2025,07:45:00,fancy,5,OUGHT,LAMER,BASIN,NANCY,FANCY,
1306,15/01/2025,07:45:00,knack,6,OUGHT,PILAR,MAKES,BANKY,AWAKE,KNACK
1308,17/01/2025,07:44:00,prose,4,OUGHT,CORAL,RENOS,PROSE,,
1309,18/01/2025,07:44:00,silly,4,OUGHT,LIVER,MILDS,SILLY,,
1310,19/01/2025,07:44:00,rower,6,OUGHT,SOLER,JOKER,COVER,ZONER,ROWER
1311,20/01/2025,07:43:00,squid,2,SQUAD,SQUID,,,,
1312,21/01/2025,07:43:00,icing,6,OUGHT,GREIN,GINGA,FLING,SWING,ICING
1313,22/01/2025,07:42:00,reach,3,SOUGH,AERIE,REACH,,,
1314,23/01/2025,07:42:00,upper,4,OUGHT,UNSEW,PLAID,UPPER,,
